cpu_cores,ram_gb,latencia_ms,armazenamento_tb,sistema_operacional,tipo_hd,tipo_processador,tempo_resposta
15.0,16,123.5,,Linux,,AMD,58.79
3.0,4,255.92,0.256,MacOS,SSD,Apple Silicon,288.95
14.0,32,114.24,,Linux,SSD,AMD,57.13
14.0,32,272.67,0.512,MacOS,HDD,Apple Silicon,52.5
5.0,8,260.37,2.0,Linux,HDD,AMD,175.99
9.0,8,19.53,1.0,Windows,,Intel,94.66
15.0,64,92.28,,Linux,HDD,AMD,36.66
4.0,16,273.21,,MacOS,SSD,Apple Silicon,172.44
15.0,4,9.91,0.512,Linux,,Intel,62.41
8.0,16,229.98,2.0,Windows,SSD,AMD,108.49
13.0,32,272.02,1.0,Windows,HDD,AMD,57.58
8.0,64,231.38,0.512,MacOS,HDD,Apple Silicon,60.56
15.0,16,223.4,1.0,Linux,HDD,AMD,61.31
3.0,64,253.16,2.0,MacOS,HDD,Apple Silicon,95.18
13.0,16,200.07,2.0,Linux,HDD,AMD,77.47
11.0,32,127.51,1.0,Windows,SSD,Intel,70.98
5.0,32,19.76,0.512,MacOS,HDD,Apple Silicon,116.47
2.0,16,236.6,,Windows,SSD,Intel,247.11
9.0,4,271.67,0.512,Linux,SSD,AMD,110.06
11.0,32,153.96,2.0,Windows,HDD,AMD,69.79
11.0,8,160.22,2.0,Linux,,AMD,80.43
10.0,4,121.58,1.0,MacOS,HDD,Apple Silicon,88.36
2.0,16,257.21,1.0,Linux,HDD,AMD,245.49
12.0,4,5.43,0.256,Linux,HDD,Intel,77.42
8.0,8,187.74,0.256,MacOS,HDD,Apple Silicon,110.14
2.0,32,272.32,0.256,MacOS,,Apple Silicon,170.4
13.0,32,31.86,,Windows,SSD,Intel,63.56
2.0,32,287.79,0.512,Linux,HDD,AMD,175.41
10.0,8,290.34,0.256,Linux,HDD,Intel,93.04
11.0,4,279.01,1.0,Windows,SSD,Intel,79.69
11.0,16,139.3,2.0,Linux,SSD,AMD,72.42
7.0,16,115.51,0.512,Linux,SSD,Intel,109.97
2.0,4,212.08,0.256,MacOS,HDD,Apple Silicon,405.35
8.0,32,96.29,2.0,MacOS,SSD,Apple Silicon,86.44
4.0,16,21.43,0.512,MacOS,,Apple Silicon,162.87
11.0,32,270.53,0.512,Windows,,AMD,61.1
5.0,64,190.82,2.0,MacOS,SSD,Apple Silicon,73.75
15.0,64,62.94,0.256,Windows,SSD,Intel,37.29
5.0,16,6.5,0.256,MacOS,SSD,Apple Silicon,142.26
9.0,4,217.33,2.0,Linux,HDD,Intel,107.49
2.0,4,255.99,2.0,Linux,HDD,AMD,401.48
9.0,4,,2.0,MacOS,SSD,Apple Silicon,102.89
10.0,32,25.19,1.0,MacOS,HDD,Apple Silicon,71.57
12.0,64,194.94,0.512,Windows,,Intel,43.47
8.0,32,89.78,0.256,Linux,,Intel,79.9
2.0,8,44.04,0.256,MacOS,,Apple Silicon,334.89
8.0,8,153.61,2.0,MacOS,HDD,Apple Silicon,122.36
7.0,16,145.07,0.512,Linux,SSD,Intel,117.85
6.0,8,155.51,2.0,MacOS,HDD,Apple Silicon,136.31
6.0,4,247.36,0.512,Linux,HDD,Intel,158.07
2.0,16,145.88,2.0,MacOS,HDD,Apple Silicon,250.88
7.0,64,270.26,2.0,Linux,SSD,Intel,67.68
14.0,64,252.7,0.512,Windows,HDD,AMD,58.22
5.0,8,195.68,0.256,MacOS,HDD,Apple Silicon,164.24
15.0,8,18.0,0.256,MacOS,SSD,Apple Silicon,65.14
15.0,64,259.62,1.0,MacOS,SSD,Apple Silicon,47.32
2.0,8,271.77,0.512,Windows,HDD,AMD,329.86
13.0,8,113.14,0.256,MacOS,HDD,Apple Silicon,60.96
9.0,32,158.32,0.256,MacOS,SSD,Apple Silicon,70.28
9.0,64,85.03,0.512,Linux,HDD,Intel,60.1
13.0,64,5.4,0.256,MacOS,HDD,Apple Silicon,52.1
14.0,8,144.36,0.512,MacOS,SSD,Apple Silicon,69.37
12.0,4,39.68,0.256,Linux,SSD,AMD,82.65
5.0,32,55.81,2.0,Windows,SSD,Intel,112.78
14.0,4,,0.512,Windows,HDD,Intel,64.83
8.0,8,,0.512,Linux,HDD,AMD,110.97
4.0,64,253.55,0.256,Windows,,Intel,86.47
9.0,4,289.56,0.512,Windows,SSD,AMD,107.62
8.0,16,145.32,,MacOS,,Apple Silicon,108.2
15.0,4,166.05,1.0,MacOS,SSD,Apple Silicon,61.61
6.0,64,246.81,,MacOS,HDD,Apple Silicon,68.61
6.0,8,210.2,1.0,Windows,SSD,Intel,139.34
10.0,4,55.66,0.256,MacOS,,Apple Silicon,81.57
7.0,8,,0.256,Windows,HDD,Intel,128.07
7.0,32,278.82,0.512,MacOS,HDD,Apple Silicon,90.93
3.0,16,44.69,0.256,Windows,SSD,AMD,198.78
12.0,64,63.6,0.256,Linux,HDD,Intel,45.92
,64,120.8,1.0,Linux,HDD,AMD,74.19
13.0,8,282.02,0.256,MacOS,SSD,Apple Silicon,71.52
5.0,16,35.03,0.256,Windows,HDD,AMD,150.58
11.0,64,,,Linux,HDD,Intel,52.75
4.0,4,,2.0,Linux,HDD,Intel,224.32
10.0,64,157.83,0.512,MacOS,HDD,Apple Silicon,63.42
12.0,4,161.43,0.512,MacOS,SSD,Apple Silicon,78.35
13.0,64,13.75,2.0,Windows,SSD,AMD,45.45
8.0,4,286.28,1.0,Linux,SSD,Intel,124.78
5.0,32,242.18,1.0,Windows,SSD,Intel,103.32
10.0,8,91.55,0.256,Windows,SSD,AMD,89.61
10.0,32,,0.256,MacOS,,Apple Silicon,70.01
13.0,4,,0.512,Windows,HDD,Intel,69.85
8.0,8,268.39,0.512,Windows,HDD,Intel,113.75
6.0,16,40.67,1.0,Linux,SSD,AMD,122.15
14.0,4,105.45,0.256,Windows,SSD,Intel,69.49
10.0,64,148.8,1.0,Linux,SSD,Intel,50.89
15.0,64,10.83,2.0,Linux,HDD,Intel,44.91
14.0,16,81.14,0.512,Windows,HDD,Intel,72.9
8.0,32,179.09,0.512,Windows,HDD,Intel,83.07
10.0,4,97.87,1.0,Linux,SSD,Intel,95.19
